restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-AUH-002,ITEM-406,Vegetable Biryani,Rice,42.48,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.5,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-002,ITEM-502,Rasmalai (2 pcs),Dessert,18.42,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-002,ITEM-503,Kulfi,Dessert,20.66,"Milk, Cardamom, Pistachios",True,None
REST-AUH-002,ITEM-504,Gajar Halwa,Dessert,22.65,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-002,ITEM-601,Masala Chai,Beverage,11.71,"Tea, Milk, Spices",True,None
REST-AUH-002,ITEM-602,Mango Lassi,Beverage,18.6,"Mango, Yogurt, Sugar",True,None
REST-AUH-002,ITEM-603,Sweet Lassi,Beverage,15.68,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-002,ITEM-604,Fresh Lime Soda,Beverage,12.4,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-001,ITEM-101,Samosa (2 pcs),Starter,17.35,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-001,ITEM-102,Paneer Tikka,Starter,34.62,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-001,ITEM-103,Chicken 65,Starter,36.21,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-001,ITEM-104,Aloo Tikki Chaat,Starter,22.11,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-001,ITEM-105,Chicken Seekh Kebab,Starter,43.57,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-001,ITEM-201,Paneer Butter Masala,Main Course,42.78,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-001,ITEM-202,Dal Makhani,Main Course,39.18,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-001,ITEM-203,Palak Paneer,Main Course,42.28,"Spinach, Paneer, Spices",True,Medium
REST-DXB-001,ITEM-204,Malai Kofta,Main Course,43.95,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-001,ITEM-205,Chole Bhature,Main Course,41.46,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-001,ITEM-301,Butter Chicken,Main Course,52.19,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-001,ITEM-302,Chicken Tikka Masala,Main Course,48.29,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-001,ITEM-303,Lamb Rogan Josh,Main Course,68.06,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-001,ITEM-304,Fish Curry,Main Course,57.46,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-001,ITEM-305,Chicken Biryani,Main Course,50.2,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-001,ITEM-401,Naan,Bread,7.65,"Flour, Yogurt, Yeast",True,None
REST-DXB-001,ITEM-402,Garlic Naan,Bread,9.75,"Flour, Garlic, Butter",True,None
REST-DXB-001,ITEM-403,Butter Naan,Bread,9.2,"Flour, Butter, Milk",True,None
REST-DXB-001,ITEM-404,Tandoori Roti,Bread,5.85,Whole Wheat Flour,True,None
REST-DXB-001,ITEM-405,Jeera Rice,Rice,17.53,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-001,ITEM-406,Vegetable Biryani,Rice,41.68,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.91,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-001,ITEM-502,Rasmalai (2 pcs),Dessert,17.97,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-001,ITEM-503,Kulfi,Dessert,19.31,"Milk, Cardamom, Pistachios",True,None
REST-DXB-001,ITEM-504,Gajar Halwa,Dessert,22.22,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-001,ITEM-601,Masala Chai,Beverage,12.09,"Tea, Milk, Spices",True,None
REST-DXB-001,ITEM-602,Mango Lassi,Beverage,18.5,"Mango, Yogurt, Sugar",True,None
REST-DXB-001,ITEM-603,Sweet Lassi,Beverage,15.59,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-001,ITEM-604,Fresh Lime Soda,Beverage,11.76,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-002,ITEM-101,Samosa (2 pcs),Starter,17.58,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-002,ITEM-102,Paneer Tikka,Starter,35.56,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-002,ITEM-103,Chicken 65,Starter,37.72,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-002,ITEM-104,Aloo Tikki Chaat,Starter,21.54,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-002,ITEM-105,Chicken Seekh Kebab,Starter,42.12,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-002,ITEM-201,Paneer Butter Masala,Main Course,46.02,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-002,ITEM-202,Dal Makhani,Main Course,37.93,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-002,ITEM-203,Palak Paneer,Main Course,41.73,"Spinach, Paneer, Spices",True,Medium
REST-DXB-002,ITEM-204,Malai Kofta,Main Course,44.98,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-002,ITEM-205,Chole Bhature,Main Course,40.4,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-002,ITEM-301,Butter Chicken,Main Course,51.77,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-002,ITEM-302,Chicken Tikka Masala,Main Course,50.31,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-002,ITEM-303,Lamb Rogan Josh,Main Course,63.73,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-002,ITEM-304,Fish Curry,Main Course,54.21,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-002,ITEM-305,Chicken Biryani,Main Course,46.33,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-002,ITEM-401,Naan,Bread,7.81,"Flour, Yogurt, Yeast",True,None
REST-DXB-002,ITEM-402,Garlic Naan,Bread,10.5,"Flour, Garlic, Butter",True,None
REST-DXB-002,ITEM-403,Butter Naan,Bread,9.35,"Flour, Butter, Milk",True,None
REST-DXB-002,ITEM-404,Tandoori Roti,Bread,5.92,Whole Wheat Flour,True,None
REST-DXB-002,ITEM-405,Jeera Rice,Rice,17.33,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-002,ITEM-406,Vegetable Biryani,Rice,41.49,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.92,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-002,ITEM-502,Rasmalai (2 pcs),Dessert,18.67,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-002,ITEM-503,Kulfi,Dessert,20.11,"Milk, Cardamom, Pistachios",True,None
REST-DXB-002,ITEM-504,Gajar Halwa,Dessert,23.02,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-002,ITEM-601,Masala Chai,Beverage,12.53,"Tea, Milk, Spices",True,None
REST-DXB-002,ITEM-602,Mango Lassi,Beverage,18.5,"Mango, Yogurt, Sugar",True,None
REST-DXB-002,ITEM-603,Sweet Lassi,Beverage,14.33,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-002,ITEM-604,Fresh Lime Soda,Beverage,12.11,"Lime, Soda, Salt/Sugar",True,None
REST-SHJ-001,ITEM-101,Samosa (2 pcs),Starter,17.96,"Potato, Peas, Spices, Pastry",True,Medium
REST-SHJ-001,ITEM-102,Paneer Tikka,Starter,34.49,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-SHJ-001,ITEM-103,Chicken 65,Starter,38.98,"Chicken, Curry Leaves, Spices",False,Hot
REST-SHJ-001,ITEM-104,Aloo Tikki Chaat,Starter,21.62,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-SHJ-001,ITEM-105,Chicken Seekh Kebab,Starter,44.02,"Minced Chicken, Spices, Onion",False,Medium
REST-SHJ-001,ITEM-201,Paneer Butter Masala,Main Course,43.7,"Paneer, Tomato, Cream, Butter",True,Mild
REST-SHJ-001,ITEM-202,Dal Makhani,Main Course,39.37,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-SHJ-001,ITEM-203,Palak Paneer,Main Course,41.67,"Spinach, Paneer, Spices",True,Medium
REST-SHJ-001,ITEM-204,Malai Kofta,Main Course,42.01,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-SHJ-001,ITEM-205,Chole Bhature,Main Course,38.44,"Chickpeas, Fried Bread, Spices",True,Medium
REST-SHJ-001,ITEM-301,Butter Chicken,Main Course,54.02,"Chicken, Tomato, Butter, Cream",False,Mild
REST-SHJ-001,ITEM-302,Chicken Tikka Masala,Main Course,47.84,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-SHJ-001,ITEM-303,Lamb Rogan Josh,Main Course,63.87,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-SHJ-001,ITEM-304,Fish Curry,Main Course,55.34,"Fish, Coconut, Curry Leaves",False,Hot
REST-SHJ-001,ITEM-305,Chicken Biryani,Main Course,47.41,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-SHJ-001,ITEM-401,Naan,Bread,7.89,"Flour, Yogurt, Yeast",True,None
REST-SHJ-001,ITEM-402,Garlic Naan,Bread,10.34,"Flour, Garlic, Butter",True,None
REST-SHJ-001,ITEM-403,Butter Naan,Bread,9.01,"Flour, Butter, Milk",True,None
REST-SHJ-001,ITEM-404,Tandoori Roti,Bread,5.86,Whole Wheat Flour,True,None
REST-SHJ-001,ITEM-405,Jeera Rice,Rice,18.76,"Basmati Rice, Cumin Seeds",True,None
REST-SHJ-001,ITEM-406,Vegetable Biryani,Rice,42.82,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-SHJ-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.44,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-SHJ-001,ITEM-502,Rasmalai (2 pcs),Dessert,17.52,"Cottage Cheese, Milk, Saffron",True,None
REST-SHJ-001,ITEM-503,Kulfi,Dessert,19.33,"Milk, Cardamom, Pistachios",True,None
REST-SHJ-001,ITEM-504,Gajar Halwa,Dessert,22.51,"Carrot, Milk, Ghee, Sugar",True,None
REST-SHJ-001,ITEM-601,Masala Chai,Beverage,12.09,"Tea, Milk, Spices",True,None
REST-SHJ-001,ITEM-602,Mango Lassi,Beverage,18.14,"Mango, Yogurt, Sugar",True,None
REST-SHJ-001,ITEM-603,Sweet Lassi,Beverage,14.81,"Yogurt, Sugar, Cardamom",True,None
REST-SHJ-001,ITEM-604,Fresh Lime Soda,Beverage,11.47,"Lime, Soda, Salt/Sugar",True,None
